Topic,Raw Count,Appearance Percentage
 cent year pairs increase,1,2.5
 holiday th holidays april,1,2.5
 death sympathy bleakley family,1,2.5
 conference labour union council,1,2.5
 unemployment wages employment wage,1,2.5
 cost living prices cost living,1,2.5
 russia league russian germany,1,2.5
 death mr sympathy bleakley,1,2.5
 superannuation pensions fund benefit,1,2.5
 trade bad trade bad improvement,1,2.5
 report central office central letter,1,2.5
 members branch operatives district,1,2.5
 union unions trade employers,1,2.5
 war government nations policy,1,2.5
 conference labour party labour party,1,2.5
 trade firm trade board bad,1,2.5
 holiday fund superannuation pensions,1,2.5
 arbitration agreement strike agreements,1,2.5
 branch members operatives branches,1,2.5
 hours holiday week hour,1,2.5
 mr poulton smith death,1,2.5
 conference council mr party,1,2.5
 union unemployment employers labour,1,2.5
 members war policy meeting,1,2.5
 trade firm manufacturers firms,1,2.5
 branch operatives branches office,1,2.5
 firm manufacturers firms trade board,1,2.5
 rates industry prices trade,1,2.5
 holiday day holidays th,1,2.5
 houses district housing districts,1,2.5
 death sympathy died family,1,2.5
 cent year compared increase,1,2.5
 tuberculosis treatment health disease,1,2.5
 russia russian movement socialist,1,2.5
 union unemployment workers labour,1,2.5
 mr party labour labour party,1,2.5
 conference council agreement delegates,1,2.5
 war government movement policy,1,2.5
 street london mr hm,1,2.5
 operatives discharged service service men,1,2.5
 statements errors creep errors creep,1,2.5
 returns central office central office,1,2.5
 arbitration defendant report reports,1,2.5
 war league nations russia,1,2.5
 branch branches office central office,1,2.5
 district houses districts housing,1,2.5
 baldwin speech speeches mr baldwin,1,2.5
 improvement slight whitley year,1,2.5
 labour union employers unemployment,1,2.5
 conference delegates council arbitration,1,2.5
 mr street london leicester,1,2.5
 labour union workers women,1,2.5
 fund superannuation rates pensions,1,2.5
 firm trade manufacturers trade board,1,2.5
 branch branches operatives secretary,1,2.5
 trade employment bad improvement,1,2.5
 holiday hours day hour,1,2.5
 members membership happy shall happy,1,2.5
 branch branches returns office,1,2.5
 houses housing district districts,1,2.5
 war peace movement socialist,1,2.5
 cost living cost living cent,1,2.5
 holiday th month holidays,1,2.5
 members happy membership shall happy,1,2.5
 education educational school teachers,1,2.5
 war government policy land,1,2.5
 conference council committee delegates,1,2.5
 mr leicester secretary general,1,2.5
 war government industry men,1,2.5
 insurance fund benefit superannuation,1,2.5
 miners firm coal firms,1,2.5
 members meeting membership organisers,1,2.5
 operatives seamen service operative,1,2.5
 cent increase compared improvement,1,2.5
 work man week business,1,2.5
 th month week day,1,2.5
 health reports inspectors report,1,2.5
 bleakley death sympathy mr bleakley,1,2.5
 time regret short time short,1,2.5
 trade bad chesham plymouth,1,2.5
 conference resolution delegates chairman,1,2.5
 russia russian german geneva,1,2.5
 women womens girls rely,1,2.5
 death sympathy funeral regret,1,2.5
 sewn machine piecework hand,1,2.5
 union unions unemployment trade,1,2.5
 women mr labour street,1,2.5
 conference members arbitration branch,1,2.5
 wages insurance rates minimum,1,2.5
 government policy movement ballot,1,2.5
 war agreement nations russia,1,2.5
 trade trade board food board,1,2.5
 death sympathy regret loss,1,2.5
 union unions unemployment labour,1,2.5
